WHOI SSSG dsLogCsv
DATE_GMT, TIME_GMT, Dec_LAT, Dec_LON, SPD, HDT, COG, SOG, WXTP_Ta, WXTS_Ta, WXTP_Pa, WXTS_Pa, WXTP_Ri, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Dm, WXTS_Dm, WXTP_Sm, WXTS_Sm, WXTP_Ua, WXTS_Ua, WXTP_TS, WXTS_TS, WXTP_TD, WXTS_TD, BAROM_P, BAROM_S, RAD_SW, RAD_LW, PAR, SBE45S, SBE48T, FLR, FLOW, SSVdslog, Depth12, Depth35, EM122
2021/11/12, 00:00:06.291, 40.365, -70.881, -1.42, 109.380, 279.000, 1.600, 13.2, 13.0, 1025.9, 1026.0, 0.0, 0.0, 193.850, 178.030, 17, 13, 8.7, 8.6, 56.2, 55.5, 9.4, 9.4, 124.1, 120.4, 1028.0, 1028.1, -6.170, 328.080, -0.01, 32.8813, 14.5450, 508.800, 26.4, 1502.837, NAN, NAN, NAN
2021/11/12, 00:01:06.291, 40.365, -70.882, -0.61, 116.370, 274.300, 2.230, 13.2, 13.0, 1026.0, 1026.1, 0.0, 0.0, 193.850, 178.030, 3, 358, 8.9, 8.3, 58.6, 58.2, 10.0, 9.4, 116.6, 112.0, 1028.1, 1028.2, -6.150, 328.110, -0.02, 32.8808, 14.5457, 498.000, 26.5, 1502.839, NAN, NAN, NAN
2021/11/12, 00:02:06.291, 40.365, -70.883, -0.78, 116.380, 287.300, 1.470, 13.2, 13.0, 1025.9, 1026.0, 0.0, 0.0, 193.850, 178.030, 1, 357, 8.7, 8.5, 55.8, 57.3, 9.4, 9.3, 116.6, 112.9, 1028.0, 1028.1, -6.210, 327.870, -0.01, 32.8807, 14.5459, 476.000, 26.4, 1502.839, NAN, NAN, NAN
2021/11/12, 00:03:06.291, 40.365, -70.883, 0.72, 112.900, 208.900, 0.610, 13.2, 13.0, 1025.8, 1026.0, 0.0, 0.0, 193.850, 178.030, 2, 355, 9.4, 8.6, 54.9, 57.2, 9.4, 8.7, 113.0, 105.9, 1027.9, 1028.1, -6.160, 327.340, -0.02, 32.8817, 14.5454, 490.400, 26.3, 1502.839, NAN, NAN, NAN
2021/11/12, 00:04:06.291, 40.365, -70.883, 0.10, 112.010, 212.200, 0.630, 13.2, 12.9, 1025.8, 1025.9, 0.0, 0.0, 193.850, 178.030, 11, 3, 9.5, 9.3, 54.4, 55.3, 9.5, 9.3, 121.1, 113.0, 1027.9, 1028.0, -6.230, 326.910, -0.01, 32.8815, 14.5466, 500.800, 26.4, 1502.842, NAN, NAN, NAN
2021/11/12, 00:05:06.291, 40.365, -70.883, 0.14, 113.700, 215.800, 0.550, 13.2, 13.0, 1025.8, 1025.9, 0.0, 0.0, 193.850, 178.030, 11, 4, 9.5, 9.1, 54.7, 55.9, 9.5, 9.1, 123.0, 115.9, 1027.9, 1028.0, -6.220, 326.540, -0.01, 32.8835, 14.5477, 508.800, 26.3, 1502.848, NAN, NAN, NAN
2021/11/12, 00:06:06.291, 40.365, -70.883, 0.11, 113.510, 219.300, 0.450, 13.2, 13.0, 1025.9, 1025.9, 0.0, 0.0, 193.850, 178.030, 15, 9, 10.2, 9.7, 55.7, 56.1, 10.2, 9.7, 127.2, 121.2, 1028.0, 1028.0, -6.200, 325.870, -0.01, 32.8871, 14.5477, 499.000, 26.4, 1502.853, NAN, NAN, NAN
2021/11/12, 00:07:06.292, 40.365, -70.883, 0.09, 113.980, 221.900, 0.280, 13.2, 13.0, 1025.9, 1026.0, 0.0, 0.0, 193.850, 178.030, 10, 4, 9.6, 9.3, 54.7, 54.7, 9.6, 9.3, 123.1, 117.1, 1028.0, 1028.1, -6.240, 325.190, -0.01, 32.8891, 14.5486, 479.200, 26.5, 1502.858, NAN, NAN, NAN
2021/11/12, 00:08:06.292, 40.365, -70.883, 0.12, 113.690, 195.000, 0.570, 13.2, 13.0, 1025.9, 1026.0, 0.0, 0.0, 193.850, 178.030, 8, 1, 8.4, 8.3, 56.4, 54.8, 8.3, 8.3, 119.8, 112.7, 1028.0, 1028.1, -6.240, 325.390, -0.01, 32.8898, 14.5498, 503.800, 26.5, 1502.862, NAN, NAN, NAN
2021/11/12, 00:09:06.292, 40.364, -70.883, 0.18, 116.880, 213.000, 0.680, 13.3, 13.0, 1026.0, 1026.0, 0.0, 0.0, 193.850, 178.030, 11, 6, 10.1, 9.8, 57.2, 58.1, 10.1, 9.8, 125.9, 120.8, 1028.1, 1028.1, -6.300, 324.840, -0.01, 32.8897, 14.5514, 472.600, 26.5, 1502.867, NAN, NAN, NAN
