#time   lat    lon   gyro  spd_log
11/12/21/00:00:06.291    40.3650   -70.8810   109.3800     -1.42
11/12/21/00:01:06.291    40.3650   -70.8820   116.3700     -0.61
11/12/21/00:02:06.291    40.3650   -70.8830   116.3800     -0.78
11/12/21/00:03:06.291    40.3650   -70.8830   112.9000      0.72
11/12/21/00:04:06.291    40.3650   -70.8830   112.0100      0.10
11/12/21/00:05:06.291    40.3650   -70.8830   113.7000      0.14
11/12/21/00:06:06.291    40.3650   -70.8830   113.5100      0.11
11/12/21/00:07:06.292    40.3650   -70.8830   113.9800      0.09
11/12/21/00:08:06.292    40.3650   -70.8830   113.6900      0.12
11/12/21/00:09:06.292    40.3640   -70.8830   116.8800      0.18
11/12/21/00:10:06.292    40.3640   -70.8830   117.3800      0.14
11/12/21/00:11:06.292    40.3640   -70.8830   115.7500      0.12
11/12/21/00:12:06.292    40.3640   -70.8830   118.0100      0.11
11/12/21/00:13:06.292    40.3640   -70.8830   117.2000      0.18
11/12/21/00:14:06.292    40.3640   -70.8830   116.4700      0.20
11/12/21/00:15:06.292    40.3640   -70.8830   117.1700      0.19
11/12/21/00:16:06.292    40.3640   -70.8830   116.9800      0.15
11/12/21/00:17:06.292    40.3640   -70.8830   117.5200      0.12
11/12/21/00:18:06.292    40.3640   -70.8830   117.0900      0.13
11/12/21/00:19:06.292    40.3640   -70.8830   117.1500      0.13
11/12/21/00:20:06.292    40.3640   -70.8830   116.9300      0.13
11/12/21/00:21:06.292    40.3640   -70.8830   116.6200      0.13
11/12/21/00:22:06.292    40.3640   -70.8830   116.1500      0.16
11/12/21/00:23:06.293    40.3640   -70.8830   117.0600      0.19
11/12/21/00:24:06.293    40.3640   -70.8830   116.2300      0.21
11/12/21/00:25:06.293    40.3640   -70.8830   116.4800      0.19
11/12/21/00:26:06.293    40.3640   -70.8830   116.7200      0.20
11/12/21/00:27:06.293    40.3640   -70.8830   116.5900      0.19
11/12/21/00:28:06.293    40.3640   -70.8830   116.8700      0.19
11/12/21/00:29:06.293    40.3640   -70.8830   116.5100      0.23
11/12/21/00:30:06.293    40.3640   -70.8830   117.3400      0.22
11/12/21/00:31:06.293    40.3640   -70.8830   117.6900      0.18
11/12/21/00:32:06.293    40.3640   -70.8830   116.6500      0.22
11/12/21/00:33:06.293    40.3640   -70.8830   117.6000      0.16
11/12/21/00:34:06.293    40.3640   -70.8830   117.0500      0.18
11/12/21/00:35:06.293    40.3640   -70.8830   116.6700      0.20
11/12/21/00:36:06.293    40.3640   -70.8830   116.6700      0.22
11/12/21/00:37:06.293    40.3640   -70.8830   117.1900      0.25
11/12/21/00:38:06.293    40.3640   -70.8830   117.3500      0.16
11/12/21/00:39:06.294    40.3640   -70.8830   117.1900      0.18
11/12/21/00:40:06.294    40.3640   -70.8830   116.7300      0.14
11/12/21/00:41:06.294    40.3640   -70.8830   117.4700      0.13
11/12/21/00:42:06.294    40.3640   -70.8830   117.7400      0.20
11/12/21/00:43:06.294    40.3640   -70.8830   116.1800      0.15
11/12/21/00:44:06.294    40.3640   -70.8830    94.3700      1.50
11/12/21/00:45:06.294    40.3640   -70.8820    86.0000      4.06
11/12/21/00:46:06.294    40.3650   -70.8800    90.9700      5.99
11/12/21/00:47:06.294    40.3650   -70.8780    90.1800      6.92
11/12/21/00:48:06.294    40.3650   -70.8750    89.3200      8.55
11/12/21/00:49:06.294    40.3650   -70.8720    90.7700      9.40
11/12/21/00:50:06.294    40.3640   -70.8690    90.9800      9.81
11/12/21/00:51:06.294    40.3640   -70.8650    90.9300      9.95
11/12/21/00:52:06.294    40.3640   -70.8620    90.9500     10.06
11/12/21/00:53:06.294    40.3640   -70.8580    91.3400     10.03
11/12/21/00:54:06.295    40.3640   -70.8550    90.6500     10.05
11/12/21/00:55:06.295    40.3640   -70.8510    92.1600     10.01
11/12/21/00:56:06.295    40.3640   -70.8480    91.9000     10.05
11/12/21/00:57:06.295    40.3640   -70.8440    92.3400      9.99
11/12/21/00:58:06.295    40.3640   -70.8410    92.0700      9.95
11/12/21/00:59:06.295    40.3640   -70.8370    92.6900      9.92
11/12/21/01:00:06.295    40.3640   -70.8340    91.7400      9.99
11/12/21/01:01:06.295    40.3630   -70.8300    90.4500      9.92
11/12/21/01:02:06.295    40.3630   -70.8270    90.3100      9.98
11/12/21/01:03:06.295    40.3630   -70.8240    89.8100      9.96
11/12/21/01:04:06.295    40.3630   -70.8200    90.1400     10.04
11/12/21/01:05:06.295    40.3630   -70.8170    90.3400     10.02
11/12/21/01:06:06.295    40.3630   -70.8130    89.2500     10.05
11/12/21/01:07:06.295    40.3630   -70.8100    89.0900     10.10
11/12/21/01:08:06.295    40.3630   -70.8060    89.2700     10.09
11/12/21/01:09:06.295    40.3630   -70.8030    89.0400     10.09
11/12/21/01:10:06.296    40.3630   -70.8000    88.7900     10.07
11/12/21/01:11:06.296    40.3630   -70.7960    90.6500     10.04
11/12/21/01:12:06.296    40.3630   -70.7930    90.4600     10.00
11/12/21/01:13:06.296    40.3630   -70.7890    90.3500     10.00
11/12/21/01:14:06.296    40.3630   -70.7860    90.3600     10.02
11/12/21/01:15:06.296    40.3630   -70.7820    90.0200     10.04
11/12/21/01:16:06.296    40.3630   -70.7790    90.2900     10.07
11/12/21/01:17:06.296    40.3630   -70.7750    90.7000     10.08
11/12/21/01:18:06.296    40.3630   -70.7720    90.0400     10.06
11/12/21/01:19:06.296    40.3630   -70.7680    90.3900     10.03
11/12/21/01:20:06.296    40.3630   -70.7650    90.0300     10.04
11/12/21/01:21:06.296    40.3630   -70.7620    90.6500     10.09
11/12/21/01:22:06.296    40.3630   -70.7580    90.6200     10.04
11/12/21/01:23:06.296    40.3630   -70.7550    90.3500     10.02
11/12/21/01:24:06.296    40.3630   -70.7510    90.1400     10.04
11/12/21/01:25:06.297    40.3630   -70.7480    90.5300     10.01
11/12/21/01:26:06.297    40.3630   -70.7440    89.9100     10.06
11/12/21/01:27:06.297    40.3630   -70.7410    90.1200     10.03
11/12/21/01:28:06.297    40.3630   -70.7370    90.8700      9.98
11/12/21/01:29:06.297    40.3630   -70.7340    89.9900     10.04
11/12/21/01:30:06.297    40.3630   -70.7310    89.5800     10.03
11/12/21/01:31:06.297    40.3630   -70.7270    90.4300      9.96
11/12/21/01:32:06.297    40.3630   -70.7240    90.2900     10.06
11/12/21/01:33:06.297    40.3630   -70.7200    90.2800     10.06
11/12/21/01:34:06.297    40.3630   -70.7170    90.3000     10.07
11/12/21/01:35:06.297    40.3630   -70.7130    89.9600     10.01
11/12/21/01:36:06.297    40.3630   -70.7100    89.8200     10.08
11/12/21/01:37:06.297    40.3630   -70.7070    90.1200     10.04
11/12/21/01:38:06.297    40.3630   -70.7030    90.5100     10.04
11/12/21/01:39:06.297    40.3630   -70.7000    90.4600     10.01
11/12/21/01:40:06.298    40.3630   -70.6960    90.5200     10.04
11/12/21/01:41:06.298    40.3630   -70.6930    90.2100     10.46
11/12/21/01:42:06.298    40.3630   -70.6890    89.2500     10.61
11/12/21/01:43:06.298    40.3630   -70.6850    88.8400     10.64
11/12/21/01:44:06.298    40.3630   -70.6820    89.1000     10.61
11/12/21/01:45:06.298    40.3630   -70.6780    88.6900     10.71
11/12/21/01:46:06.298    40.3630   -70.6740    89.0400     10.63
11/12/21/01:47:06.298    40.3630   -70.6710    89.5100     10.21
11/12/21/01:48:06.298    40.3630   -70.6670    89.2500     10.20
11/12/21/01:49:06.298    40.3630   -70.6640   106.7500      9.67
11/12/21/01:50:06.298    40.3630   -70.6620   348.1800      6.16
11/12/21/01:51:06.298    40.3640   -70.6630   273.5000      4.42
11/12/21/01:52:06.298    40.3640   -70.6660   269.1800      7.53
11/12/21/01:53:06.298    40.3640   -70.6690   266.7600      9.55
11/12/21/01:54:06.298    40.3640   -70.6730   265.9300     10.61
11/12/21/01:55:06.298    40.3640   -70.6770   265.9400     10.93
11/12/21/01:56:06.299    40.3630   -70.6810   266.1900     11.09
11/12/21/01:57:06.299    40.3630   -70.6860   265.2800     11.07
11/12/21/01:58:06.299    40.3630   -70.6900   269.4700     10.95
11/12/21/01:59:06.299    40.3630   -70.6940   269.3200     11.06
11/12/21/02:00:06.299    40.3630   -70.6980   268.3000     11.09
11/12/21/02:01:06.299    40.3630   -70.7020   268.2000     11.15
11/12/21/02:02:06.299    40.3630   -70.7060   269.3500     11.08
11/12/21/02:03:06.299    40.3630   -70.7110   268.4600     11.12
11/12/21/02:04:06.299    40.3630   -70.7150   265.7900     11.19
11/12/21/02:05:06.299    40.3630   -70.7190   268.8000     11.06
11/12/21/02:06:06.299    40.3630   -70.7230   269.3700     11.06
11/12/21/02:07:06.299    40.3630   -70.7270   268.5400     11.06
11/12/21/02:08:06.299    40.3630   -70.7310   268.4400     11.15
11/12/21/02:09:06.299    40.3630   -70.7360   266.8900     11.12
11/12/21/02:10:06.299    40.3630   -70.7400   266.7600     11.05
11/12/21/02:11:06.300    40.3630   -70.7440   267.5000     10.99
11/12/21/02:12:06.300    40.3630   -70.7480   266.6900     10.93
11/12/21/02:13:06.300    40.3630   -70.7520   266.5100     10.83
11/12/21/02:14:06.300    40.3630   -70.7560   267.2900     10.90
11/12/21/02:15:06.300    40.3630   -70.7600   266.6700     10.96
11/12/21/02:16:06.300    40.3620   -70.7650   267.1300     10.92
11/12/21/02:17:06.300    40.3620   -70.7690   268.0200     10.93
11/12/21/02:18:06.300    40.3620   -70.7730   266.5000     10.00
11/12/21/02:19:06.300    40.3630   -70.7760   349.4200      5.34
11/12/21/02:20:06.300    40.3640   -70.7760    66.5400      0.81
11/12/21/02:21:06.300    40.3640   -70.7760    97.9100     -0.41
11/12/21/02:22:06.300    40.3640   -70.7760   107.4800      0.19
11/12/21/02:23:06.300    40.3640   -70.7760   115.8000      0.25
11/12/21/02:24:06.300    40.3640   -70.7760   115.2800      0.55
11/12/21/02:25:06.300    40.3640   -70.7760   114.9900      0.77
11/12/21/02:26:06.301    40.3640   -70.7760   115.0100      0.75
11/12/21/02:27:06.301    40.3640   -70.7760   115.0900      0.53
11/12/21/02:28:06.301    40.3640   -70.7760   114.3600      0.57
11/12/21/02:29:06.301    40.3640   -70.7760   114.3600      0.54
11/12/21/02:30:06.301    40.3640   -70.7760   115.1500      0.67
